"","sub.id","sub.name","sub.sys","sub.status","pri.id","pri.name","pri.status","start","end"
"1025",12758,"MONTPELIER GAS SYSTEM","GD","ACTIVE",12758,"MONTPELIER GAS SYSTEM","Current",1995-06-06,2025-01-26
"1026",12768,"MOREAUVILLE GAS DEPT","GD","ACTIVE",12768,"MOREAUVILLE GAS DEPT","Current",1987-06-04,2025-01-26
"1027",12774,"MOREHEAD MUNICIPAL UTILITIES PLANT BOARD","GD","ACTIVE",12774,"MOREHEAD MUNICIPAL UTILITIES PLANT BOARD","Current",1995-04-20,2025-01-26
"1028",12776,"MORGAN CITY GAS DEPT, CITY OF","GD","ACTIVE",12776,"MORGAN CITY GAS DEPT, CITY OF","Current",1995-04-20,2025-01-26
"1029",12778,"MORGANFIELD GAS SYSTEM, CITY OF","GD","ACTIVE",12778,"MORGANFIELD GAS SYSTEM, CITY OF","Current",1995-04-20,2025-01-26
"1030",12780,"MORGANTOWN NATURAL GAS SYSTEM","GD","ACTIVE",12780,"MORGANTOWN NATURAL GAS SYSTEM","Current",1995-05-24,2025-01-26
"1031",12786,"MORGANZA, VILLAGE OF","GD","ACTIVE",12786,"MORGANZA, VILLAGE OF","Current",1995-05-24,2025-01-26
"1032",12794,"MORNING SUN MUNICIPAL GAS SYSTEM","GD","ACTIVE",12794,"MORNING SUN MUNICIPAL GAS SYSTEM","Current",1995-04-20,2025-01-26
"1033",12794,"MORNING SUN MUNICIPAL GAS SYSTEM","GT","ACTIVE",12794,"MORNING SUN MUNICIPAL GAS SYSTEM","Current",1995-04-20,2025-01-26
"1034",12798,"MORTON GAS SYSTEM, CITY OF","GD","ACTIVE",12798,"MORTON GAS SYSTEM, CITY OF","Current",1995-04-20,2025-01-26
"1035",12816,"MOSS POINT MUNICIPAL GAS SYSTEM, CITY OF","GD","ACTIVE",12816,"MOSS POINT MUNICIPAL GAS SYSTEM, CITY OF","Current",1995-04-20,2025-01-26
"1036",12817,"MOSS BLUFF HUB, LLC","GT","ACTIVE",19235,"Enbridge","Current",1995-04-20,2025-01-26
"1037",12817,"MOSS BLUFF HUB, LLC","UNGS","ACTIVE",19235,"Enbridge","Current",2017-01-19,2025-01-26
"1038",12817,"MOSS BLUFF HUB, LLC","UNGS","ACTIVE",12817,"MOSS BLUFF GAS STORAGE SYSTEM","Superseded",2017-01-18,2017-01-18
"1039",12823,"MOULTON MUNICIPAL GAS SYSTEM","GD","ACTIVE",12823,"MOULTON MUNICIPAL GAS SYSTEM","Current",1995-05-24,2025-01-26
"1040",12823,"MOULTON MUNICIPAL GAS SYSTEM","GT","ACTIVE",12823,"MOULTON MUNICIPAL GAS SYSTEM","Current",1995-05-24,2025-01-26
"1041",12824,"MOULTON GAS SYSTEM","GD","ACTIVE",12824,"MOULTON GAS SYSTEM","Current",1987-06-04,2025-01-26
"1042",12828,"MOULTRIE GAS DEPT, CITY OF","GD","ACTIVE",12828,"MOULTRIE GAS DEPT, CITY OF","Current",1995-04-20,2025-01-26
"1043",12846,"MOUNDRIDGE GAS DEPT, CITY OF","GD","ACTIVE",12846,"MOUNDRIDGE GAS DEPT, CITY OF","Current",1995-05-24,2025-01-26
"1044",12858,"MT CARMEL PUBLIC UTILITY CO","GD","ACTIVE",12858,"MT CARMEL PUBLIC UTILITY CO","Current",1995-04-20,2025-01-26
"1045",12874,"MOUNTAINWEST PIPELINE, LLC","GT","ACTIVE",12874,"MountainWest","Current",1995-05-03,2025-01-26
"1046",12874,"MOUNTAINWEST PIPELINE, LLC","UNGS","ACTIVE",12874,"MountainWest","Current",2017-01-18,2025-01-26
"1047",12876,"DOMINION ENERGY UTAH/WYOMING/IDAHO","GD","ACTIVE",12876,"Questar","Current",1995-04-20,2025-01-26
"1048",12876,"DOMINION ENERGY UTAH/WYOMING/IDAHO","GT","ACTIVE",12876,"Questar","Current",1995-04-20,2025-01-26
"1049",12878,"MOUNTAINEER GAS CO","GD","ACTIVE",12878,"MOUNTAINEER GAS CO","Current",1995-05-24,2025-01-26
"1050",12894,"MOUNTAINAIR, TOWN OF","GD","ACTIVE",12894,"MOUNTAINAIR, TOWN OF","Current",1995-05-24,2025-01-26
"1051",12894,"MOUNTAINAIR, TOWN OF","GT","ACTIVE",12894,"MOUNTAINAIR, TOWN OF","Current",1995-05-24,2025-01-26
"1052",12897,"MULBERRY, CITY OF","GD","ACTIVE",12897,"MULBERRY, CITY OF","Current",1995-06-06,2025-01-26
"1053",12900,"MULGA NATURAL GAS SYSTEM","GD","ACTIVE",12900,"MULGA NATURAL GAS SYSTEM","Current",1995-05-24,2025-01-26
"1054",12903,"TWO HARBORS CITY MUNICIPAL GAS DEPT","GD","ACTIVE",12903,"TWO HARBORS CITY MUNICIPAL GAS DEPT","Current",1995-04-20,2025-01-26
"1055",12913,"SUPERIOR REFINING COMPANY LLC","HL","ACTIVE",12913,"CALUMET SUPERIOR, LLC","Current",1987-06-04,2025-01-26
"1056",12918,"MURRAY NATURAL GAS SYSTEM","GD","ACTIVE",12918,"MURRAY NATURAL GAS SYSTEM","Current",1995-05-24,2025-01-26
"1057",12930,"MUSTANG GAS PRODUCTS LLC","GT","ACTIVE",12930,"MUSTANG GAS PRODUCTS LLC","Current",1987-06-04,2025-01-26
"1058",12990,"BOBWHITE MANAGEMENT CO.","GT","ACTIVE",12990,"BOBWHITE PRODUCTION CO INC","Current",1990-03-01,2025-01-26
"1059",13030,"NASHVILLE, CITY OF","GD","ACTIVE",13030,"NASHVILLE, CITY OF","Current",1995-05-24,2025-01-26
"1060",13050,"NASHVILLE, CITY OF","GD","ACTIVE",13050,"NASHVILLE, CITY OF","Current",1995-04-20,2025-01-26
"1061",13061,"NATIONAL FUEL GAS DISTRIBUTION CORP","GD","ACTIVE",13061,"NATIONAL FUEL GAS DISTRIBUTION CORP","Current",1995-04-20,2025-01-26
"1062",13061,"NATIONAL FUEL GAS DISTRIBUTION CORP","GT","ACTIVE",13063,"National Fuel Gas","Current",1995-04-20,2025-01-26
"1063",13062,"NATIONAL FUEL GAS DISTRIBUTION CORP - NEW YORK","GD","ACTIVE",13062,"National Fuel Gas","Current",1995-05-24,2025-01-26
"1064",13062,"NATIONAL FUEL GAS DISTRIBUTION CORP - NEW YORK","GT","ACTIVE",13063,"National Fuel Gas","Current",1995-05-24,2025-01-26
"1065",13063,"NATIONAL FUEL GAS SUPPLY CORP","GD","ACTIVE",13063,"National Fuel Gas","Current",1995-04-20,2025-01-26
"1066",13063,"NATIONAL FUEL GAS SUPPLY CORP","GT","ACTIVE",13063,"National Fuel Gas","Current",1995-04-20,2025-01-26
"1067",13063,"NATIONAL FUEL GAS SUPPLY CORP","UNGS","ACTIVE",13063,"National Fuel Gas","Current",2017-01-18,2025-01-26
"1068",13120,"NATURAL GAS PIPELINE CO OF AMERICA (KMI)","GT","ACTIVE",2564,"Kinder Morgan","Current",2013-04-22,2025-01-26
"1069",13120,"NATURAL GAS PIPELINE CO OF AMERICA (KMI)","GT","ACTIVE",19580,"Kinder Morgan","Superseded",1995-05-03,2013-04-21
"1070",13120,"NATURAL GAS PIPELINE CO OF AMERICA (KMI)","UNGS","ACTIVE",2564,"Kinder Morgan","Current",2017-01-18,2025-01-26
"1071",13131,"ConocoPhillips (E&P - L-48)","GT","INACTIVE",13131,"ConocoPhillips Lower 48","Current",1995-04-21,2025-01-26
"1072",13170,"NAVASOTA, CITY OF","GD","ACTIVE",13170,"NAVASOTA, CITY OF","Current",1995-04-20,2025-01-26
"1073",13180,"NEBRASKA CITY UTILITIES","GD","ACTIVE",13180,"NEBRASKA CITY UTILITIES","Current",1995-04-20,2025-01-26
"1074",13180,"NEBRASKA CITY UTILITIES","GT","ACTIVE",13180,"NEBRASKA CITY UTILITIES","Current",1995-04-20,2025-01-26
"1075",13210,"NEODESHA GAS DEPT, CITY OF","GD","ACTIVE",13210,"NEODESHA GAS DEPT, CITY OF","Current",1995-05-24,2025-01-26
"1076",13226,"NEW ALBANY GAS SYSTEM","GD","ACTIVE",13226,"NEW ALBANY GAS SYSTEM","Current",1995-05-24,2025-01-26
"1077",13250,"NEW BOSTON GAS DEPT, CITY OF","GD","ACTIVE",13250,"NEW BOSTON GAS DEPT, CITY OF","Current",1995-04-20,2025-01-26
"1078",13260,"NEW FLORENCE NATURAL GAS SYSTEM","GD","ACTIVE",13260,"NEW FLORENCE NATURAL GAS SYSTEM","Current",1995-04-20,2025-01-26
"1079",13280,"NEW HARMONY GAS DEPT, TOWN OF","GD","ACTIVE",13280,"NEW HARMONY GAS DEPT, TOWN OF","Current",1995-06-06,2025-01-26
"1080",13290,"NEW HAVEN CITY NATURAL GAS SYSTEM","GD","ACTIVE",13290,"NEW HAVEN CITY NATURAL GAS SYSTEM","Current",1995-05-24,2025-01-26
"1081",13299,"NEW JERSEY NATURAL GAS CO","GD","ACTIVE",13299,"NEW JERSEY NATURAL GAS CO","Current",1995-05-24,2025-01-26
"1082",13299,"NEW JERSEY NATURAL GAS CO","GT","ACTIVE",13299,"NEW JERSEY NATURAL GAS CO","Current",1995-05-24,2025-01-26
"1083",13302,"NATIONAL GAS & OIL CORP","GD","ACTIVE",13302,"NATIONAL GAS & OIL CORP","Current",1995-05-24,2025-01-26
"1084",13302,"NATIONAL GAS & OIL CORP","GT","ACTIVE",13302,"NATIONAL GAS & OIL CORP","Current",1995-05-24,2025-01-26
"1085",13360,"ENTERGY NEW ORLEANS, LLC","GD","ACTIVE",13360,"ENTERGY NEW ORLEANS, INC","Current",1995-05-24,2025-01-26
"1086",13360,"ENTERGY NEW ORLEANS, LLC","GT","ACTIVE",13360,"ENTERGY NEW ORLEANS, INC","Current",1995-05-24,2025-01-26
"1087",13370,"NEW ROADS GAS SYSTEM, TOWN OF","GD","ACTIVE",13370,"NEW ROADS GAS SYSTEM, TOWN OF","Current",1995-04-20,2025-01-26
"1088",13390,"NEW SUMMERFIELD GAS CO","GD","ACTIVE",13390,"NEW SUMMERFIELD GAS CO","Current",1995-04-20,2025-01-26
"1089",13400,"NEW ULM PUBLIC UTILITIES COMMISSION","GD","ACTIVE",13400,"NEW ULM PUBLIC UTILITIES COMMISSION","Current",1995-04-20,2025-01-26
"1090",13410,"NEW YORK MILLS MUNICIPAL GAS SYSTEM","GD","ACTIVE",13410,"NEW YORK MILLS MUNICIPAL GAS SYSTEM","Current",1995-04-20,2025-01-26
"1091",13420,"NEW YORK STATE ELECTRIC & GAS CORP","GD","ACTIVE",13420,"NY SEG","Current",1995-05-24,2025-01-26
"1092",13420,"NEW YORK STATE ELECTRIC & GAS CORP","GT","ACTIVE",13420,"NY SEG","Current",1995-05-24,2025-01-26
"1093",13430,"NEWBERN GAS DEPT","GD","ACTIVE",13430,"NEWBERN GAS DEPT","Current",1995-04-20,2025-01-26
"1094",13440,"NEWELLTON, TOWN OF - ST JOSEPH JOINT LINE","GD","ACTIVE",13440,"NEWELLTON, TOWN OF - ST JOSEPH JOINT LINE","Current",1995-04-20,2025-01-26
"1095",13460,"NEWTON GAS SYSTEM, CITY OF","GD","ACTIVE",13460,"NEWTON GAS SYSTEM, CITY OF","Current",1995-04-20,2025-01-26
"1096",13470,"NEZPIQUE GAS SYSTEM INC","GD","ACTIVE",13470,"NEZPIQUE GAS SYSTEM INC","Current",1987-06-04,2025-01-26
"1097",13480,"NIAGARA MOHAWK POWER CORP","GD","ACTIVE",11713,"National Grid","Current",1995-04-20,2025-01-26
"1098",13480,"NIAGARA MOHAWK POWER CORP","GT","ACTIVE",11713,"National Grid","Current",1995-04-20,2025-01-26
"1099",13530,"NORRIS CITY GAS SYSTEM, VILLAGE OF","GD","ACTIVE",13530,"NORRIS CITY GAS SYSTEM, VILLAGE OF","Current",1995-04-20,2025-01-26
"1100",13535,"NORTH ALABAMA GAS DISTRICT","GD","ACTIVE",13535,"NORTH ALABAMA GAS DISTRICT","Current",1995-04-20,2025-01-26
"1101",13610,"NORTH CROSSETT GAS & WATER","GD","ACTIVE",13610,"NORTH CROSSETT GAS & WATER","Current",1995-05-24,2025-01-26
"1102",13620,"NORTH EAST HEAT & LIGHT CO","GD","ACTIVE",13620,"NORTH EAST HEAT & LIGHT CO","Current",1995-04-20,2025-01-26
"1103",13630,"NORTHEAST OKLAHOMA PUBLIC FACILITIES AUTH","GD","ACTIVE",13630,"NORTHEAST OKLAHOMA PUBLIC FACILITIES AUTH","Current",1995-05-24,2025-01-26
"1104",13630,"NORTHEAST OKLAHOMA PUBLIC FACILITIES AUTH","GT","ACTIVE",13630,"NORTHEAST OKLAHOMA PUBLIC FACILITIES AUTH","Current",1995-05-24,2025-01-26
"1105",13635,"NORTHEAST OHIO NATURAL GAS CORP","GD","ACTIVE",13635,"Orwell","Current",1995-05-24,2025-01-26
"1106",13635,"NORTHEAST OHIO NATURAL GAS CORP","GT","ACTIVE",13635,"Orwell","Current",1995-05-24,2025-01-26
"1107",13639,"NORGASCO INC","GD","ACTIVE",13639,"NORGASCO INC","Current",1995-04-20,2025-01-26
"1108",13660,"NORTH SHORE GAS CO","GD","ACTIVE",13660,"NORTH SHORE GAS CO","Current",1995-05-24,2025-01-26
"1109",13660,"NORTH SHORE GAS CO","GT","ACTIVE",15329,"Peoples","Current",1995-05-24,2025-01-26
"1110",13707,"NORTHERN MINNESOTA UTILITIES","GD","INACTIVE",13707,"NORTHERN MINNESOTA UTILITIES","Current",1995-04-20,2025-01-26
"1111",13707,"NORTHERN MINNESOTA UTILITIES","GT","INACTIVE",13707,"NORTHERN MINNESOTA UTILITIES","Current",1995-04-20,2025-01-26
"1112",13710,"NORTHERN ILLINOIS GAS CO","GD","ACTIVE",13710,"NORTHERN ILLINOIS GAS CO","Current",1995-04-20,2025-01-26
"1113",13710,"NORTHERN ILLINOIS GAS CO","GT","ACTIVE",13710,"NORTHERN ILLINOIS GAS CO","Current",1995-04-20,2025-01-26
"1114",13710,"NORTHERN ILLINOIS GAS CO","UNGS","ACTIVE",13710,"NORTHERN ILLINOIS GAS CO","Current",2017-01-18,2025-01-26
"1115",13725,"NORTHERN INDUSTRIAL ENERGY DEVELOPMENT INC","GD","ACTIVE",13725,"NORTHERN INDUSTRIAL ENERGY DEVELOPMENT INC","Current",1988-06-13,2025-01-26
"1116",13730,"NORTHERN INDIANA PUBLIC SERVICE CO","GD","ACTIVE",13730,"NORTHERN INDIANA PUBLIC SERVICE CO","Current",1995-04-20,2025-01-26
"1117",13730,"NORTHERN INDIANA PUBLIC SERVICE CO","GT","ACTIVE",13730,"NORTHERN INDIANA PUBLIC SERVICE CO","Current",1995-04-20,2025-01-26
"1118",13730,"NORTHERN INDIANA PUBLIC SERVICE CO","UNGS","ACTIVE",13730,"NORTHERN INDIANA PUBLIC SERVICE CO","Current",2017-01-18,2025-01-26
"1119",13750,"NORTHERN NATURAL GAS CO","GD","ACTIVE",13750,"NORTHERN NATURAL GAS CO","Current",1995-05-03,2025-01-26
"1120",13750,"NORTHERN NATURAL GAS CO","GT","ACTIVE",13750,"NORTHERN NATURAL GAS CO","Current",1995-05-03,2025-01-26
"1121",13750,"NORTHERN NATURAL GAS CO","UNGS","ACTIVE",13750,"NORTHERN NATURAL GAS CO","Current",2017-01-18,2025-01-26
"1122",13769,"NORTHERN BORDER PIPELINE COMPANY","GT","ACTIVE",405,"TransCanada","Current",1995-05-03,2025-01-26
"1123",13772,"FERRELLGAS","GD","ACTIVE",13772,"FERRELLGAS","Current",1989-05-08,2025-01-26
"1124",13783,"NORTHERN STATES POWER CO OF WISCONSIN","GD","ACTIVE",31636,"Xcel Energy","Current",1995-04-20,2025-01-26
"1125",13783,"NORTHERN STATES POWER CO OF WISCONSIN","GT","ACTIVE",31636,"Xcel Energy","Current",1995-04-20,2025-01-26
"1126",13795,"NORTHERN UTILITIES INC (ME)","GD","ACTIVE",13800,"Unitil","Current",1995-04-20,2025-01-26
"1127",13800,"NORTHERN UTILITIES, INC. (NH)","GD","ACTIVE",13800,"Unitil","Current",1995-05-24,2025-01-26
"1128",13820,"NORTHWEST ALABAMA GAS DISTRICT","GD","ACTIVE",13820,"NORTHWEST ALABAMA GAS DISTRICT","Current",1995-05-24,2025-01-26
"1129",13840,"NORTHWEST NATURAL GAS CO","GD","ACTIVE",13840,"NORTHWEST NATURAL GAS CO","Current",1995-04-20,2025-01-26
"1130",13840,"NORTHWEST NATURAL GAS CO","GT","ACTIVE",13840,"NORTHWEST NATURAL GAS CO","Current",1995-04-20,2025-01-26
"1131",13840,"NORTHWEST NATURAL GAS CO","UNGS","ACTIVE",13840,"NORTHWEST NATURAL GAS CO","Current",2017-01-18,2025-01-26
"1132",13845,"NORTHWEST PIPELINE LLC","GT","ACTIVE",19570,"Williams Pipeline","Current",1995-04-21,2025-01-26
"1133",13845,"NORTHWEST PIPELINE LLC","GT","ACTIVE",19570,"Williams Pipeline","Superseded",1200-12-12,1995-04-20
"1134",13860,"NORWICH DEPT OF PUBLIC UTILITIES, CITY OF","GD","ACTIVE",13860,"NORWICH DEPT OF PUBLIC UTILITIES, CITY OF","Current",1995-04-20,2025-01-26
"1135",14010,"OAK RIDGE UTIL DIST","GD","ACTIVE",14010,"OAK RIDGE UTIL DIST","Current",1995-04-20,2025-01-26
"1136",14040,"OBION GAS SYSTEM, TOWN OF","GD","ACTIVE",14040,"OBION GAS SYSTEM, TOWN OF","Current",1987-06-04,2025-01-26
"1137",14070,"OCILLA GAS DEPT, CITY OF","GD","ACTIVE",14070,"OCILLA GAS DEPT, CITY OF","Current",1995-05-24,2025-01-26
"1138",14121,"OHIO CUMBERLAND GAS CO","GD","ACTIVE",14121,"OHIO CUMBERLAND GAS CO","Current",1995-05-24,2025-01-26
"1139",14130,"OHIO GAS CO","GD","ACTIVE",14130,"OHIO GAS CO","Current",1995-05-24,2025-01-26
"1140",14140,"EAST KENTUCKY UTILITIES INC","GD","INACTIVE",32601,"KENTUCKY FRONTIER","Current",1995-05-24,2025-01-26
"1141",14145,"ENLINK OHIO RIVER VALLEY PIPELINE, LLC","HL","ACTIVE",15979,"ERGON TRUCKING, INC.","Current",2023-11-01,2025-01-26
"1142",14145,"ENLINK OHIO RIVER VALLEY PIPELINE, LLC","HL","ACTIVE",32117,"ENLINK MIDSTREAM","Superseded",2014-03-07,2023-10-31
"1143",14145,"ENLINK OHIO RIVER VALLEY PIPELINE, LLC","HL","ACTIVE",14145,"OHIO OIL GATHERING CORP II","Superseded",1987-06-04,2014-03-06
"1144",14180,"OHIO VALLEY GAS CORP","GD","ACTIVE",14180,"OHIO VALLEY GAS CORP","Current",1995-04-20,2025-01-26
"1145",14180,"OHIO VALLEY GAS CORP","GT","ACTIVE",14180,"OHIO VALLEY GAS CORP","Current",1995-04-20,2025-01-26
"1146",14190,"OHIO VALLEY GAS INC","GD","INACTIVE",14190,"OHIO VALLEY GAS INC","Current",1995-04-20,2025-01-26
"1147",14194,"OILTANKING, HOUSTON LP","HL","ACTIVE",14194,"OILTANKING, HOUSTON LP","Current",1987-06-04,2025-01-26
"1148",14200,"OKALOOSA COUNTY GAS DISTRICT","GD","ACTIVE",14200,"OKALOOSA COUNTY GAS DISTRICT","Current",1995-04-20,2025-01-26
"1149",14200,"OKALOOSA COUNTY GAS DISTRICT","GT","ACTIVE",14200,"OKALOOSA COUNTY GAS DISTRICT","Current",1995-04-20,2025-01-26
"1150",14210,"OKLAHOMA NATURAL GAS COMPANY, A DIVISION OF ONE GAS, INC.","GD","ACTIVE",14210,"OKLAHOMA NATURAL GAS CO","Current",1995-04-20,2025-01-26
"1151",14210,"OKLAHOMA NATURAL GAS COMPANY, A DIVISION OF ONE GAS, INC.","GT","ACTIVE",14210,"OKLAHOMA NATURAL GAS CO","Current",1995-04-20,2025-01-26
"1152",14225,"RINGWOOD GATHERING CO","GT","ACTIVE",31178,"XTO","Current",1995-06-01,2025-01-26
"1153",14270,"OLIVE BRANCH MUNICIPAL GAS, CITY OF","GD","ACTIVE",14270,"OLIVE BRANCH MUNICIPAL GAS, CITY OF","Current",1987-06-04,2025-01-26
"1154",14280,"OLIVE HILL NATURAL GAS SYSTEM","GD","ACTIVE",14280,"OLIVE HILL NATURAL GAS SYSTEM","Current",1995-05-24,2025-01-26
"1155",14320,"ONEONTA GAS DEPT","GD","ACTIVE",14320,"ONEONTA GAS DEPT","Current",1995-04-20,2025-01-26
"1156",14330,"ORANGE & ROCKLAND UTILITY INC","GD","ACTIVE",14330,"Orange Rockland Util","Current",1995-05-24,2025-01-26
"1157",14330,"ORANGE & ROCKLAND UTILITY INC","GT","ACTIVE",14330,"Orange Rockland Util","Current",1995-05-24,2025-01-26
"1158",14340,"ORANGEBURG PUBLIC UTILITIES","GD","ACTIVE",14340,"ORANGEBURG PUBLIC UTILITIES","Current",1995-04-20,2025-01-26
"1159",14341,"ORWELL NATURAL GAS CO","GD","INACTIVE",14341,"ORWELL NATURAL GAS CO","Current",2015-03-04,2025-01-26
"1160",14341,"ORWELL NATURAL GAS CO","GD","INACTIVE",13635,"Orwell","Superseded",1995-05-24,2015-03-03
"1161",14355,"ORLANDO PUBLIC WORKS AUTH","GD","ACTIVE",14355,"ORLANDO PUBLIC WORKS AUTH","Current",1995-04-20,2025-01-26
"1162",14356,"ORBIT GAS TRANSMISSION, INC.","GT","ACTIVE",14356,"ORBIT GAS TRANSMISSION, INC.","Current",1995-05-03,2025-01-26
"1163",14360,"ORONOGO MUNICIPAL GAS SYSTEM , CITY OF","GD","ACTIVE",14360,"ORONOGO MUNICIPAL GAS SYSTEM , CITY OF","Current",1995-04-20,2025-01-26
"1164",14370,"OSAGE CITY MUNICIPAL GAS SYSTEM","GD","ACTIVE",14370,"OSAGE CITY MUNICIPAL GAS SYSTEM","Current",1995-05-24,2025-01-26
"1165",14380,"OSAGE MUNICIPAL GAS UTILITY, TOWN OF","GD","ACTIVE",14380,"OSAGE MUNICIPAL GAS UTILITY, TOWN OF","Current",1995-04-20,2025-01-26
"1166",14391,"OSAGE PIPE LINE COMPANY, LLC","HL","ACTIVE",32011,"Holly Energy","Current",2016-09-01,2025-01-26
"1167",14400,"OSGOOD GAS UTILITY","GD","ACTIVE",14400,"OSGOOD GAS UTILITY","Current",1995-04-20,2025-01-26
"1168",14410,"OWATONNA PUBLIC UTILITIES","GD","ACTIVE",14410,"OWATONNA PUBLIC UTILITIES","Current",1995-05-24,2025-01-26
"1169",14410,"OWATONNA PUBLIC UTILITIES","GT","ACTIVE",14410,"OWATONNA PUBLIC UTILITIES","Current",1995-05-24,2025-01-26
"1170",14435,"OZARK GAS TRANSMISSION, L.L.C","GT","ACTIVE",14435,"OZARK GAS TRANSMISSION SYSTEM","Current",2020-04-01,2025-01-26
"1171",14435,"OZARK GAS TRANSMISSION, L.L.C","GT","ACTIVE",19235,"Enbridge","Superseded",1995-04-20,2020-03-31
"1172",15007,"PACIFIC GAS & ELECTRIC CO","GD","ACTIVE",15007,"PG&E","Current",1995-04-20,2025-01-26
"1173",15007,"PACIFIC GAS & ELECTRIC CO","GT","ACTIVE",15007,"PG&E","Current",1995-04-20,2025-01-26
"1174",15007,"PACIFIC GAS & ELECTRIC CO","UNGS","ACTIVE",15007,"PG&E","Current",2017-01-18,2025-01-26
"1175",15014,"GAS TRANSMISSION NORTHWEST LLC","GT","ACTIVE",405,"TransCanada","Current",1995-04-20,2025-01-26
"1176",15033,"GREAT BASIN GAS TRANSMISSION COMPANY","GT","ACTIVE",18536,"Southwest Gas","Current",2021-03-12,2025-01-26
"1177",15033,"GREAT BASIN GAS TRANSMISSION COMPANY","GT","ACTIVE",15033,"Southwest Gas","Superseded",1995-04-20,2021-03-11
"1178",15035,"PAINTSVILLE CITY GAS SYSTEM","GD","ACTIVE",15035,"PAINTSVILLE CITY GAS SYSTEM","Current",1995-05-24,2025-01-26
"1179",15042,"PALATKA GAS AUTH","GD","ACTIVE",15042,"PALATKA GAS AUTH","Current",1987-06-04,2025-01-26
"1180",15070,"PALMER MUNICIPAL SYSTEM, CITY OF","GD","ACTIVE",15070,"PALMER MUNICIPAL SYSTEM, CITY OF","Current",1995-05-24,2025-01-26
"1181",15077,"PALMETTO GAS SYSTEM","GD","ACTIVE",15077,"PALMETTO GAS SYSTEM","Current",1995-05-24,2025-01-26
"1182",15084,"PALO ALTO, CITY OF","GD","ACTIVE",15084,"PALO ALTO, CITY OF","Current",1995-04-20,2025-01-26
"1183",15091,"PUBLIC GAS CO","GD","INACTIVE",13635,"Orwell","Current",1987-06-04,2025-01-26
"1184",15105,"PANHANDLE EASTERN PIPELINE CO","GT","ACTIVE",32099,"Energy Transfer","Current",2013-06-01,2025-01-26
"1185",15105,"PANHANDLE EASTERN PIPELINE CO","GT","ACTIVE",15105,"Southern Union","Superseded",1995-05-03,2013-05-31
"1186",15105,"PANHANDLE EASTERN PIPELINE CO","UNGS","ACTIVE",32099,"Energy Transfer","Current",2017-01-18,2025-01-26
"1187",15119,"PARIS GAS SYSTEM, CITY OF","GD","ACTIVE",15119,"PARIS GAS SYSTEM, CITY OF","Current",1995-05-24,2025-01-26
"1188",15126,"PARIS - HENRY COUNTY PUBLIC UTIL DIST","GD","ACTIVE",15126,"PARIS - HENRY COUNTY PUBLIC UTIL DIST","Current",1995-05-24,2025-01-26
"1189",15132,"PAPCO INC","GD","ACTIVE",15132,"PAPCO INC","Current",1995-04-20,2025-01-26
"1190",15140,"PARSONS NATURAL GAS SYSTEM","GD","ACTIVE",15140,"PARSONS NATURAL GAS SYSTEM","Current",1995-06-06,2025-01-26
"1191",15147,"PARTRIDGE GAS DISTRIBUTION SYSTEM","GD","ACTIVE",15147,"PARTRIDGE GAS DISTRIBUTION SYSTEM","Current",1995-05-24,2025-01-26
"1192",15154,"PASCAGOULA NATURAL GAS SYSTEM, CITY OF","GD","INACTIVE",15154,"PASCAGOULA NATURAL GAS SYSTEM, CITY OF","Current",1995-04-20,2025-01-26
"1193",15156,"SINCLAIR TRANSPORTATION COMPANY","GT","ACTIVE",32011,"Holly Energy","Current",2022-12-31,2025-01-26
"1194",15156,"SINCLAIR TRANSPORTATION COMPANY","HL","ACTIVE",32011,"Holly Energy","Current",2022-12-31,2025-01-26
"1195",15156,"SINCLAIR TRANSPORTATION COMPANY","HL","ACTIVE",15156,"SINCLAIR TRANSPORTATION COMPANY","Superseded",1987-06-04,2022-12-30
"1196",15161,"PATTERSON GAS DEPT, CITY OF","GD","ACTIVE",15161,"PATTERSON GAS DEPT, CITY OF","Current",1995-04-20,2025-01-26
"1197",15168,"PAWNEE GAS SYSTEM, VILLAGE OF","GD","ACTIVE",15168,"PAWNEE GAS SYSTEM, VILLAGE OF","Current",1995-04-20,2025-01-26
"1198",15189,"PEARSALL GAS DEPT, CITY OF","GD","ACTIVE",15189,"PEARSALL GAS DEPT, CITY OF","Current",1995-04-20,2025-01-26
"1199",15203,"PELHAM NATURAL GAS SYSTEM, CITY OF","GD","ACTIVE",15203,"PELHAM NATURAL GAS SYSTEM, CITY OF","Current",1995-04-20,2025-01-26
"1200",15208,"PELICAN RESERVE PIPELINE CO","GT","ACTIVE",15208,"PELICAN RESERVE PIPELINE CO","Current",1995-05-03,2025-01-26
"1201",15217,"PENDER MUNICIPAL GAS DEPT, VILLAGE OF","GD","ACTIVE",15217,"PENDER MUNICIPAL GAS DEPT, VILLAGE OF","Current",1995-04-20,2025-01-26
"1202",15259,"UGI PENN NATURAL GAS","GD","INACTIVE",15259,"UGI PENN NATURAL GAS","Current",1995-04-20,2025-01-26
"1203",15259,"UGI PENN NATURAL GAS","GT","INACTIVE",15259,"UGI PENN NATURAL GAS","Current",1995-04-20,2025-01-26
"1204",15329,"PEOPLES GAS LIGHT & COKE CO","GD","ACTIVE",15329,"Peoples","Current",1995-05-24,2025-01-26
"1205",15329,"PEOPLES GAS LIGHT & COKE CO","GT","ACTIVE",15329,"Peoples","Current",1995-05-24,2025-01-26
