DATAFILE_AS_OF,SIGNIFICANT,SERIOUS,RPTID,DOR,OPID,NAME,INADR,ACCTY,ACCNT,ACCST,ACZIP,CLASS,IFED,DTHH,IDATE,FAT,INJ,TOTAL_COST,TOTAL_COST_IN84,TOTAL_COST_CURRENT,OPJUD,STHH,STMN,TELRN,TELRT,INPRS,MXPRS,MPEST,TEST,CAUSE,MAP_CAUSE,MAP_SUBCAUSE,PRTLK,PRTLO,PRTFL,PRTFO,MLKD,MLKDO,NMDIA,THK,SPEC,MANU,MANYR,PRTYR,LOCLK,LOCLO,PNAME,PHONE,LOC,ADESC,ADESCO,CAUSR,CAUCO,COAT,PROT,CPYR,CAULK,DMGO,NOTIF,NOTDT,MARK,MRKTP,MRKTO,STAT,CAULC,CAULO,NARRATIVE
6/30/22,YES,YES,19890161,,10037,KANSAS POWER & LIGHT CO,1930 MURPHY BOULEVARD,JOPLIN,JASPER,MO,64804,3,NO,450,4/2/89,0,1,16000,13789.40484,30639.63375,Null,0,45,            ,19890402,6,8,BY TEST,0,DAMAGE BY OUTSIDE FORCES,EXCAVATION DAMAGE,THIRD PARTY EXCAVATION DAMAGE,OTHER,DISTRIC REGULATOR STATION,JOINT,SCREW,STEEL, ,2,0.154,API5LA25,N/A,1957,1957,ABOVE GROUND, ,"JAMES W. INGRAM, VICE PRES. GAS OPERATIONS",9132961959,,, ,, ,,Null,,OUTSIDE/THIRD PARTY, ,NO,,YES,1, ,YES,, ,"DARRYL G. JONES LOST CONTROL OF HIS 1976 JEEP CJ-5, ALONG MURPHY BLVD, TRAVELING AIRBORNE INTO DISTRICT REGULATOR STATION #45 AT 1930 MURPHY BLVD.  STATION PIPING AND BARRICADE WERE DESTROYED, AND THE JEEP LANDED ON ITS TOP, PINING MR JONES.  HE SUSTAINED A BROKEN ARM, FRACTURED PELVIS, AND HIS SPLEEN RUPTURED DURING TRANSPORTATION TO FREEMAN HOSPITAL IN JOPLIN.  THE POLICE REPORT INDICATES ACCIDENT WAS ATTRIBUTED TO SPEED AND DRINKING.  THERE WAS NO IGNITION OF NATURAL GAS RELEASE,  AND NO CUSTOMERS WERE LOST AS THIS STATION IS WITHIN AN INTEGRATED DISTRIBUTION SYSTEM."
6/30/22,NO,NO,19890162,,18444,SOUTH RUSK COUNTY GAS CO,COUNTY ROAD 317, ,RUSK,TX,75681,0,NO,2200,3/28/89,0,0,10172,8766.614127,19479.14716,Null,9,0,            ,19890329,26,59,BY CFR 192.619(A)(3),0,DAMAGE BY OUTSIDE FORCES,NATURAL FORCE DAMAGE,UNSPECIFIED NATURAL FORCE DAMAGE,MAIN, ,OTHER,UNKNOWN,OTHER PLASTIC,PVC,2.25,0,N/A,JET STREAM,0,1970,UNDER GROUND OR UNDER WATER, ,"MAE GREEN, PRESIDENT",2148223955,,, ,, ,,Null,,EARTH MOVEMENT: LANDSLIDE/WASHOUT, ,NO,,NO,0, ,NO,, ,TERRIBLE STORM AND HIGH WATER WASHED OUT A CREEK CROSSING.
6/30/22,NO,NO,19890163,,18532,SOUTHERN UNION GAS CO,1015 NOBLE STREET,EL PASO,EL PASO,TX,79902,3,NO,1502,5/17/89,0,0,24000,20684.10726,45959.45062,YES,0,15,            ,19890517,0.25,0.5,BY CFR 192.619(A)(3),0,OTHER,ALL OTHER CAUSES,MISCELLANEOUS,OTHER,UNKNOWN,OTHER,UNKNOWN,OTHER,UNKNOWN,0,0,N/A,N/A,0,0,WITHIN/UNDER BUILDING, ,"EDWARD H. SMITH, P.E. REGIONAL ENGINEER",9155446300,,, ,, ,,Null,,NO DATA, ,Null,,Null,, ,Null,, ,FAILURE OF CUSTOMER'S EQUIPMENT RESULTED IN FIRE THAT DESTROYED A PRIVATE RESIDENCE.  GAS COMPANY'S INVOLVEMENT WAS STRICTLY ASSISTING FIRE MARSHALL IN THE INVESTIGATION.
6/30/22,NO,NO,19890167,,4499,ENTEX - DIVISION OF ARKLA INC,1909 AVENUE D,ROSENGERG,FORT BEND,TX,77469,3,NO,1240,5/12/89,0,0,6500,5601.945716,12447.35121,Null,1,25,            ,19890512,30,60,BY TEST,100,DAMAGE BY OUTSIDE FORCES,EXCAVATION DAMAGE,THIRD PARTY EXCAVATION DAMAGE,OTHER,SERVICE RISER,DRIP/RISER, ,STEEL, ,1,0.12,API 5L,N/A,0,0,ABOVE GROUND, ,"LANNY W. CARGILE, P.E. , OPERATIONS ENGINEER",7136545105,,, ,, ,,Null,,OUTSIDE/THIRD PARTY, ,NO,,NO,0, ,NO,, ,A CAR HIT A VACANT RISER CAUSING A LEAK AND IGNITION OF GAS.  THE CAR BURNED.
6/30/22,NO,NO,19890169,,22182,WASHINGTON GAS LIGHT CO,11707 GOODLOE ROAD,ROCKVILLE,MONTGOMERY,MD,20906,3,NO,1840,6/11/89,0,0,55000,47401.07914,105323.741,Null,0,39,            ,19890612,20,60,BY TEST,90,OTHER,ALL OTHER CAUSES,MISCELLANEOUS,METER SET ASSEMBLY, ,REGULATOR/METER, ,STEEL, ,1,0.133,ASTMA 120,N/A,0,1960,WITHIN/UNDER BUILDING, ,"CLARENCE E. GOODSON,III, SAFETY SUPERVISOR",7037504584,,, ,, ,,Null,,NO DATA, ,Null,,Null,, ,Null,, ,"THE CUSTOMER SMELLED SMOKE FROM HIS BASEMENT AND INVESTIGATED.  HE FOUND THEGAS METER,IN AN ENCLOSED METER CABINET, ON FIRE.  HE CALLED THE FIRE DEPARTMENT WHO CALLED WGL AND GAS WAS TURNED OFF OUTSIDE.  THE FIRE MARSHALL'S INVESTIGATION COULD NOT DETERMINE THE EXACT CAUSE OF THE FIRE; HE FELT THE GAS METER ASEMBLY MUST HAVE BEEN LEAKING AND FOUND AN UNKNOWN SOURCE OF IGNITION.  THE CUSTOMER STATED HE HAD NOT PREVIOUSLY SMELLED GAS AT ANY TIME.  SYSTEM ODORANT CHECKS WERE MADE AND FOUND TO BE IN THE ACCEPTABLE RANGE. WGL IS CONTINUING TO INVESTIGATE THIS INCIDENT."
6/30/22,YES,YES,19890170,,329,ALL PRO GAS CO,1110 N.W. 44 STREET,FT LAUDERDALE,BROWARD,FL,33309,3,NO,1830,7/1/89,0,1,20000,17236.75605,38299.54218,Null,93,0,            ,19890702,5,10,BY TEST,30,DAMAGE BY OUTSIDE FORCES,EXCAVATION DAMAGE,THIRD PARTY EXCAVATION DAMAGE,SERVICE LINE, ,JOINT,COUPLING,STEEL, ,0.05,0,N/A,N/A,0,0,UNDER GROUND OR UNDER WATER, ,"ATHUR E. BLAU,PRESIDENT",3057765961,,, ,, ,,Null,,OUTSIDE/THIRD PARTY,WEAKENED JOINT IN PIPE,NO,,NO,0, ,YES,, ,
6/30/22,YES,NO,19890171,,2652,COMMONWEALTH GAS CO,22 HARRINGTON RIDGE RD.,SHERBORN,MIDDLESEX,MA,01770,1,NO,1059,4/27/89,0,0,200000,172367.5605,382995.4218,Null,0,26,            ,19890428,54,60,BY TEST,100,DAMAGE BY OUTSIDE FORCES,EXCAVATION DAMAGE,THIRD PARTY EXCAVATION DAMAGE,METER SET ASSEMBLY, ,BODY OF PIPE, ,STEEL, ,1,0,N/A,N/A,0,1961,WITHIN/UNDER BUILDING, ,BRIAN J. HAWKESWORTH,5084817900,,, ,, ,,Null,,OUTSIDE/THIRD PARTY, ,NO,,NO,0, ,YES,, ,
6/30/22,NO,NO,19890172,,19200,TERRE HAUTE GAS CORP,2228 NORTH 31ST STREET,TERRE HAUTE,VIGO,IN,47804,3,NO,1009,6/7/89,0,0,25000,21545.94506,47874.42773,Null,0,15,            ,19890608,18,67,BY TEST,100,DAMAGE BY OUTSIDE FORCES,EXCAVATION DAMAGE,THIRD PARTY EXCAVATION DAMAGE,OTHER,UNKNOWN,OTHER,UNKNOWN,OTHER,UNKNOWN,0,0, , ,0,0,OTHER,UNKNOWN,"W.C. COTTRELL, VICE PRESIDENT ENGINEERING",8122341561,,, ,, ,,Null,,OUTSIDE/THIRD PARTY, ,NO,,NO,0, ,NO,, ,"AUTOMOBILE HIT GAS METER AND BROKE RISER ELBOW BELOW GROUND LEVEL, ALLOWING GAS TO ESCAPE ADJACENT TO HOUSE BELOW GRADE."
6/30/22,NO,NO,19890174,,4499,ENTEX - DIVISION OF ARKLA INC,FM 1374 AND IH-45,HUNTSVILLE,WALKER,TX,77340,3,NO,640,5/22/89,0,0,47500,40937.29562,90961.41269,Null,0,40,            ,19890522,26,60,BY TEST,100,DAMAGE BY OUTSIDE FORCES,EXCAVATION DAMAGE,THIRD PARTY EXCAVATION DAMAGE,OTHER,REGULATORY STATION,DRIP/RISER, ,STEEL, ,4,0.237,N/A,N/A,0,0,ABOVE GROUND, ,"LANNY W. CARGILE, P.E. - OPERATIONS ENGINEER",7136545105,,, ,, ,,Null,,OUTSIDE/THIRD PARTY, ,NO,,NO,0, ,NO,, ,"A TRUCK WAS LEFT UNATTENDED IN A SERVICE STATION PARKING LOT.  THE TRUCK ROLLED OUT OF THE PARKING LOT, ACROSS A HIGHWAY, DOWN AN EMBANKMENT, AND STRUCK A RELIEF VALVE RISER. THE RISER WAS BROKEN OFF RESULTING IN GAS ESCAPING AND IGNITION OF GAS.  THE TRUCK WAS DESTROYED BY THE FIRE."
6/30/22,NO,NO,19890175,,4499,ENTEX - DIVISION OF ARKLA INC,2141 WHITE FEATHER TRAIL,CROSBY,HARRIS,TX,77532,3,NO,945,4/28/89,0,0,100,86.18378025,191.4977109,YES,0,45,            ,19890428,30,60,BY TEST,100,DAMAGE BY OUTSIDE FORCES,EXCAVATION DAMAGE,THIRD PARTY EXCAVATION DAMAGE,MAIN, ,BODY OF PIPE, ,STEEL, ,4,0.237,N/A,N/A,0,1967,UNDER GROUND OR UNDER WATER, ,"LANNY W. CARGILE, P.E. - OPERATIONS ENGINEER",7136545105,,, ,, ,,Null,,OUTSIDE/THIRD PARTY, ,YES,4/20/89,YES,2, ,NO,, ,"PRIVATE CONTRACTOR PULLED 3/4"" STEEL SERVICE TAP FROM 4"" STEEL MAIN.  INDIANSHORES DRIVE WAS BLOCKED OFF AD ONE HOUSE EVACUATED AS A SAFETY PRECAUTION."
6/30/22,NO,NO,19890176,,4473,ENERGAS CO,"INTERSTATE 20,HILLSIDE MOBILE HOME PARK",BIG SPRING,HOWARD,TX,79720,3,NO,1800,6/14/89,0,0,0,0,0,YES,0,15,            ,19890614,10,60,BY CFR 192.619(A)(3),0,DAMAGE BY OUTSIDE FORCES,EXCAVATION DAMAGE,OPERATOR/CONTRACTOR EXCAVATION DAMAGE,METER SET ASSEMBLY, ,FITTING, ,STEEL, ,0,0, , ,0,0,ABOVE GROUND, ,"CARL F. BAILEY, P.E., DIVISION ENGINEER",9156888840,,, ,, ,,Null,,OPERATOR ACTION, ,NO,,YES,1, ,NO,, ,DRIVER LOST CONTROL OF VEHICLE AND RAN OVER A METER SETTING INTERRUPTING SERVICE TO ABOUT 22 HOUSES.
6/30/22,NO,NO,19890178,,4499,ENTEX - DIVISION OF ARKLA INC,4406 36TH STREET,DICKINSON,GALVESTON,TX,77539,1,NO,1409,5/3/89,0,0,400,344.735121,765.9908437,YES,0,49,            ,19890503,25,60,BY TEST,100,DAMAGE BY OUTSIDE FORCES,OTHER OUTSIDE FORCE DAMAGE,UNSPECIFIED OUTSIDE FORCE DAMAGE,MAIN, ,BODY OF PIPE, ,POLYETHYLENE PLASTIC, ,2,0.216,PE 2306,DUPONT,0,0,UNDER GROUND OR UNDER WATER, ,"LANNY W. CARGILE, P.E. - OPERATIONS ENGINEER",7136545105,,, ,, ,,Null,,LIGHTNING OR FIRE, ,NO,,NO,0, ,NO,, ,"LIGHTNING STRUCK A UTILITY POLE AND FOLLOWED THE BROUNG WIRE TO THE GROUND ROD BURNING A HOLE IN A 2"" PLASTIC MAIN AND RESULTING IN IGNITION OF NATURAL GAS."
6/30/22,NO,NO,19890179,,2812,"CORPUS CHRISTI, CITY OF - GAS DIV",445 DELAINE DR,CORPUS CHRISTI,NUECES,TX,78411,4,NO,1042,5/22/89,0,0,5000,4309.189012,9574.885546,Null,1,8,            ,19890522,17,60,BY CFR 192.619(A)(3),0,ACCIDENTALLY CAUSED BY OPERATOR,INCORRECT OPERATION,UNSPECIFIED INCORRECT OPERATION,MAIN, ,OTHER,NONE,STEEL, ,2,0.167,N/A,N/A,0,1946,UNDER GROUND OR UNDER WATER, ,"FRANK SACKY, ASSISTANT GAS SUPT.",5128544396,,, ,, ,,Null,,NO DATA, ,Null,,Null,, ,Null,, ,"GAS CREW, WHILE REPAIRING A SMALL GAS LEAK ON THE WELD OF A 1"" TAP TEE ON A 2"" WRAPPED STEEL MAIN, HAD SET A PUNCH INTO THE TAP TEE TO STOP THE FLOW OF GAS.  THE CAP OF THE TAP TEE HAD BEEN REMOVED AND THE PUNCH SET INTO THE TAP OF THE GAS MAIN.  WHILE THE FOREMAN WAS REWELDING THE DEFECTIVE WELD ON THE TAP TEE, THE GAS PRESSURE BLEW OUT THE PUNCH AND THE NATURAL GAS WAS IGNITED BYTHE TORCH."
6/30/22,NO,NO,19890180,,4499,ENTEX - DIVISION OF ARKLA INC,LAKE CHEROKEE,LONGVIEW,GREGG,TX,     ,3,NO,413,5/5/89,0,0,2150,1852.951275,4117.200785,YES,0,30,            ,19890505,15,60,BY TEST,100,DAMAGE BY OUTSIDE FORCES,NATURAL FORCE DAMAGE,EARTH MOVEMENT,OTHER,REGULATOR STATION,DRIP/RISER, ,STEEL, ,2,0.125,API 5L,N/A,0,0,UNDER GROUND OR UNDER WATER, ,"LANNY W. CARGILE, P.E. - OPERATIONS ENGINEER",7136545105,,, ,, ,,Null,,EARTH MOVEMENT: OTHER,FALLING TREE,NO,,NO,0, ,NO,, ,"DURING A STORM A LARGE TREE FELL ON A REGULATOR STATION RUPTURING A 2"" RISER, RESULTING IN THE LOSS OF GAS SERVICE TO 150 CUSTOMER."
6/30/22,NO,NO,19890182,,4473,ENERGAS CO,WILLOW CREEK RD.,AMARILLO,POTTER,TX,79108,3,NO,1640,6/26/89,0,0,2000,1723.675605,3829.954218,YES,0,30,            ,19890626,16,60,BY TEST,100,CONSTRUCTION/OPERATING ERROR,MATERIAL/WELD/EQUIP FAILURE,UNSPECIFIED MATERIAL/WELD FAILURE,MAIN, ,VALVE, ,STEEL, ,4,0.188,API-5L GRD B, ,0,0,UNDER GROUND OR UNDER WATER, ,"DAVID V. HAYES, JR.  DIVISION ENGINEER",8063783380,,, ,, ,,Null,,NO DATA, ,Null,,Null,, ,Null,POOR WORKMANSHIP DURING CONSTRUCTION, ,AN EXTENSION WAS BEING INSTALLED ON AN EXISTING VALVE TO ALLOW FOR EASIER ACCESS TO GREASE TO VALVE.  AS THE EXTENSION WAS BEING THREADED ONTO THE VALVE THE COMPANY EMPLOYEE CONTINUE TO TURN THE EXTENSION UNTIL IT BEGAN TO CLOSE THE VALVE.  THIS PROCEDURE WAS CONTINUED UNTIL THE VALVE WAS COMPLETED CLOSED SHUTING OFF GAS FLOW TO A ONE WAY FEED SYSTEM.
6/30/22,NO,NO,19890184,,11800,LOUISIANA GAS SERVICE CO,1182' SOUTH OF MUSIC ROAD,SWARTZ,OUACHITA,LA,71281,3,NO,1230,7/10/89,0,0,0,0,0,YES,2,30,            ,,30,80,BY TEST,120,DAMAGE BY OUTSIDE FORCES,EXCAVATION DAMAGE,THIRD PARTY EXCAVATION DAMAGE,MAIN, ,BODY OF PIPE, ,POLYETHYLENE PLASTIC, ,4,0.395,ASTM D2513,PLEXCO,1987,1987,UNDER GROUND OR UNDER WATER, ,"D.L. MERIWETHER, PIPELINE SAFETY ENGINEER",5043677000,,, ,, ,,Null,,OUTSIDE/THIRD PARTY, ,NO,,YES,1, ,YES,, ,CONTRACTOR'S BACKHOE SEVERED GAS MAIN.  APPROXIMATELY 40 CUSTOMERS WERE WITHOUT GAS FOR A 5 HOUR PERIOD.
6/30/22,NO,NO,19890185,,12484,MIDWEST GAS CO,112 E. 10TH STREET,YANKTON,YANKTON,SD,57078,3,YES,1015,7/5/89,0,0,0,0,0,YES,0,45,            ,,95,100,BY CFR 192.619(A)(3),0,DAMAGE BY OUTSIDE FORCES,EXCAVATION DAMAGE,THIRD PARTY EXCAVATION DAMAGE,SERVICE LINE, ,OTHER,UNKNOWN,STEEL, ,1.25,0.14,API5L, ,1965,1965,UNDER GROUND OR UNDER WATER, ,"ALLAN L. GATES, AREA MANAGER",6056657846,,, ,, ,,Null,,OUTSIDE/THIRD PARTY, ,NO,,NO,0, ,YES,, ,OPERATOR WAS NOT CALLED FOR LOCATION OF FACILITIES.
6/30/22,YES,NO,19890187,,11032,LACLEDE GAS CO,#1 ST. ALFRED ROAD,CREVE COEUR,ST LOUIS,MO,63132,3,NO,915,7/11/89,0,0,125000,107729.7253,239372.1387,Null,0,52,            ,19890711,12.5,60,BY TEST,100,DAMAGE BY OUTSIDE FORCES,EXCAVATION DAMAGE,THIRD PARTY EXCAVATION DAMAGE,SERVICE LINE, ,JOINT,T & C,STEEL, ,0.75,0.113,N/A,N/A,0,1953,WITHIN/UNDER BUILDING, ,"PAUL B. HUNKER, JR./ ASSOCIATE GENERAL COUNSEL",3143420528,,, ,, ,,Null,,OUTSIDE/THIRD PARTY, ,NO,,NO,0, ,YES,, ,
6/30/22,NO,NO,19890189,,10037,KANSAS POWER & LIGHT CO,24 HWY. & OSAGE VILLAGE DRIVE,INDEPENDENCE,JACKSON,MO,64050,3,NO,124,7/8/89,0,0,5000,4309.189012,9574.885546,Null,0,45,            ,19890708,4,44,BY TEST,90,DAMAGE BY OUTSIDE FORCES,EXCAVATION DAMAGE,THIRD PARTY EXCAVATION DAMAGE,OTHER,REGULATOR STATION,BODY OF PIPE, ,STEEL, ,2,0.154,API 5LA25,N/A,0,1977,UNDER GROUND OR UNDER WATER, ,"JAMES W. INGRAM, VP GAS OPERATIONS",9132961959,,, ,, ,,Null,,OUTSIDE/THIRD PARTY, ,NO,,YES,1, ,NO,, ,PICKUP TRUCK HIT & BROKE OUTLET PIPE TO REGULATOR STATION.
6/30/22,NO,NO,19890191,,18532,SOUTHERN UNION GAS CO,1917 N. WEST ST.,FLAGSTAFF,COCONINO,AZ,86001,3,NO,2035,6/3/89,0,0,10000,8618.378025,19149.77109,YES,0,20,            ,19890603,0.25,0.25,BY TEST,0,OTHER,ALL OTHER CAUSES,MISCELLANEOUS,OTHER,UNKNOWN,OTHER,UNKNOWN,OTHER,UNKNOWN,0,0,N/A,N/A,0,0,WITHIN/UNDER BUILDING, ,"JAMES R. WARREN, AREA MANAGER",6027744591,,, ,, ,,Null,,NO DATA, ,Null,,Null,, ,Null,, ,HOUSE SETTLED DOWN ONTO HOUSEPIPING BREAKING PIPE UNDER HOUSE.  BREAK WAS DOWNSTREAM OF OPERATORS METER.
6/30/22,NO,NO,19890192,,18532,SOUTHERN UNION GAS CO,1600 W. NORTH LOOP,AUSTIN,TRAVIS,TX,78756,3,NO,2152,7/21/89,0,0,500,430.9189012,957.4885546,YES,3,45,            ,,20,25,BY CFR 192.619(A)(3),0,DAMAGE BY OUTSIDE FORCES,NATURAL FORCE DAMAGE,EARTH MOVEMENT,MAIN, ,BODY OF PIPE, ,CAST IRON, ,4,0,N/A,N/A,0,1948,UNDER GROUND OR UNDER WATER, ,"DENNIS WORLEY, REGIONAL ENGINEER",5124775981,,, ,, ,,Null,,EARTH MOVEMENT: SUBSIDENCE, ,NO,,NO,0, ,NO,, ,GROUND SURROUNDING STORM DRAIN HAD SETTLED CAUSING CI MAIN TO BREAK.
6/30/22,NO,NO,19890193,,4473,ENERGAS CO,WHITNEY AND MAXWELL STREET,MIDLAND,MIDLAND,TX,79705,3,NO,905,7/26/89,0,0,0,0,0,YES,0,5,            ,19890726,10,60,BY CFR 192.619(A)(3),0,CONSTRUCTION/OPERATING ERROR,MATERIAL/WELD/EQUIP FAILURE,UNSPECIFIED MATERIAL/WELD FAILURE,MAIN, ,FITTING, ,STEEL, ,2,0,N/A,N/A,0,0,UNDER GROUND OR UNDER WATER, ,"CARL F. BAILEY, P.E., DIVISION ENGINEER",9156888840,,, ,, ,,Null,,NO DATA, ,Null,,Null,, ,Null,OTHER,REMOVAL OF BACKFILL ALLOWED PIPE TO SLIP OUT.,MAINTENANCE CREW UNCOVERED A LEAKING DRESSER COUPLING.  PIPE SLIPPED OUT OF DRESSER.  SERVICE LOSS TO 78 HOUSES.
6/30/22,NO,NO,19890194,,4473,ENERGAS CO,2550 W. 8TH,ODESSA,ECTOR,TX,79760,3,NO,1045,7/14/89,0,0,0,0,0,YES,0,15,            ,19890714,0.05,0,BY CFR 192.619(A)(3),0,OTHER,ALL OTHER CAUSES,MISCELLANEOUS,OTHER,YARD LINE,OTHER,UNKNOWN,OTHER,UNKNOWN,0,0,N/A,N/A,0,0,UNDER GROUND OR UNDER WATER, ,"CARL F. BAILEY, P.E., DIVISION ENGINEER",9156888849,,, ,, ,,Null,,NO DATA, ,Null,,Null,, ,Null,, ,EMPLOYEE OF CUSTOMER ATTEMPTED TO LOCATE YARD LINE LEAK WITH CIGARETTE LIGHTER AND IGNITED GAS.
6/30/22,NO,NO,19890196,,11713,LONG ISLAND LIGHTING CO,GIN LANE C/O FAIRLEA,SOUTHAMPTON,SUFFOLK,NY,11968,4,NO,1326,7/22/89,0,0,0,0,0,Null,0,19,            ,19890723,49,60,BY TEST,90,DAMAGE BY OUTSIDE FORCES,OTHER OUTSIDE FORCE DAMAGE,UNSPECIFIED OUTSIDE FORCE DAMAGE,SERVICE LINE, ,BODY OF PIPE, ,POLYETHYLENE PLASTIC, ,1,0.099,ASTM D2513-2406,DUPONT,1979,1980,UNDER GROUND OR UNDER WATER, ,"ANNE M. OSTLING, SUPERVISOR QC&R",5169334400,,, ,, ,,Null,,LIGHTNING OR FIRE, ,NO,,NO,0, ,NO,, ,"UNDER THE DIRECTION OF THE ARSON SQUAD,GAS C&M PERSONNEL UNEARTHED A FAULTEDSECONDARY ELECTRIC CABLE (INSTALLED BY AN ELECTICIAN) WHICH HAD BURNED THE PLASTIC GAS SERVICE AT THE BUILDING."
6/30/22,YES,YES,19890199,,15875,PRODUCERS GAS EQUITIES INC,NW/4 4-12-17,ELLIS, ,KS,     ,1,NO,1100,7/31/89,0,2,2676,2306.277959,5124.478744,Null,0,30,            ,19890731,55,200,BY CFR 192.619(A)(3),0,DAMAGE BY OUTSIDE FORCES,EXCAVATION DAMAGE,THIRD PARTY EXCAVATION DAMAGE,OTHER,TAP,DRIP/RISER, ,OTHER,UNKNOWN,3,0.0625,N/A,N/A,1937,1937,ABOVE GROUND, ,"LUCY M. CROWELL, SAFETY SUPERVISOR",9136257353,,, ,, ,,Null,,OUTSIDE/THIRD PARTY, ,NO,,YES,1, ,NO,, ,
6/30/22,YES,YES,19890200,,7348,HOPE GAS INC,MILL FALL ROAD & U.S. RT. 19,MONONGAH,MARION,WV,     ,1,NO,925,7/24/89,0,1,0,0,0,Null,0,8,            ,19890724,40,60,BY TEST,90,DAMAGE BY OUTSIDE FORCES,EXCAVATION DAMAGE,THIRD PARTY EXCAVATION DAMAGE,SERVICE LINE, ,BODY OF PIPE, ,POLYETHYLENE PLASTIC, ,1,0, , ,0,0,UNDER GROUND OR UNDER WATER, ,EDMUND L. FLINT,3046238650,,, ,, ,,Null,,OUTSIDE/THIRD PARTY, ,YES,7/10/89,YES,1,PAINT SPRAYED ROAD,NO,, ,"THIS WAS THE THIRD OF THREE (3) LINE BREAKS CAUSED BY THE SAME THIRD PARTY WHILE LAYING 1,000 FT OF NEW WATER LINE.  MAY 31, 1989, JULY 12, 1989, AND JULY 24, 1989.  HOPE WAS INFORMED THEY WOULD NOT BE DIGGING ON THE SIDE OF THE ROAD OF THIS LAST DIG-IN.  THE FIRST TWO (2) LINE BREAKS WERE ADJACENT TO PERMANENT MARKERS, HOWEVER, HOPE DID NOT MARK EXACTLY THE LOCATION OF THE LINE.AT 10:55 AM, PRODUCERS GAS UTILITES, INC. WAS NOTIFIED BY PHONE AS TO A NATURAL GAS EXPLOSION IN SEC 4, TWNSHIP 12, RANGE 17, IN ELLIS COUNTY, KS. THE CALL WAS MADE BY KEN ROHLEDER TO ALAN HOFFMAN, VP OF PRODUCERS GAS EQUITIES. LUCY CROWELL, SAFETY SUPERVISOR FOR PGE NOTIFIED THE ELLIS COUNTY SHERIFF'S DEPT AT 11:00 AM. WILFRED LEIKER, FIELD REPRESENTATIVE FOR PGE, WAS DISPATCHED TO THE SCENE AT 11:01 AM BY RADIO. MR LEIKER ARRIVED AT THE SCENE OF THE INCIDENT AT 11:20 AM ELMER STAAB, SUPERINTENDENT, WAS ENROUTE TO THE SCENE OF THE INCIDENT AT 11:15AM AND ARRIVED AT 11:35AM. GAS AT THE SCENE OF THE INCIDENT WAS SHUT AT 11:30AM BY COMPANY EMPLOYEE W. LEIKER. REPAIRS TO THE GAS LINE WERE MADE BY COMPANY EMPLOYEES AND COMPLETED BY 1:30PM. ONE FARM RESIDENCE AND TWO OIL FIELDS INDUSTRIALS WERE WITHOUT GAS SERVICE FOR A PERIOD OF TWO HOURS.A TELEPHONIC REPORT OF THE INCIDENT WAS MADE BY LUCY CROWELL AT 11:37AM TO BARRY FLOHRSCHUTZ, OF THE KANSAS PIPELINE SAFETY DEPT. ANOTHER TELEPHONIC REPORT OF THE INCIDENT WAS MADE BY L. CROWELL TO THE DEPT OF TRANS AT 11:53AM.AFTER SURVEYING THE SCENE OF THE INCIDENT, A COMPANY EMPLOYEE, W. LEIKER INDICATED THAT A TAP HAD BEEN TORN OFF OF A 3"" DISTRIBUTION LINE (OWNED BY PGE, INC) BY A 1973 CHEVROLT PICKUP DRIVEN BY KEN ROHLEDER. THE DRIVER OF THE PICKUP WAS TREATED AND RELEASED AT A LOCAL HEALTH CARE CENTER. TWO PASSENGERS OF THE PICKUP WERE TAKEN TO A LOCAL HOSPITAL FOR TREATMENT OF MINOR BURNS. THE TWO PASSENGERS WERE KEPT OVERNIGHT FOR OBSERVATIONS ONLY. DESTROYED IN THE INCIDENT WAS A 1973 CHEVROLT (A FARM PIKUP VALUED AT $1,500.00), $500.00 IN FENCING MATERIAL ALSO ON THE PICKUP. ESTIMATED GAS LOSS FOR 45 MINUTES WAS 215 MCF, OR $676.18 (FIGURED AT A CURRENT RATE OF $3.1450 PER MCF). TOTAL DAMAGES IN THIS INCIDENT AMOUNT TO $2,676.18."
6/30/22,YES,YES,19890201,,4483,ENSTAR NATURAL GAS CO,5640 RABBIT CREEK ROAD,ANCHORAGE, ,AK, 9516,3,NO,1036,7/28/89,0,2,0,0,0,Null,1,30,            ,19890728,55,60,BY TEST,100,DAMAGE BY OUTSIDE FORCES,EXCAVATION DAMAGE,THIRD PARTY EXCAVATION DAMAGE,MAIN, ,BODY OF PIPE, ,POLYETHYLENE PLASTIC, ,4.5,0.409,SDR 11 IPS',PHILLIPS DRISCOPIPE INC.,0,1980,UNDER GROUND OR UNDER WATER, ,DREW SMITH - CHIEF ENGINEER,9072643744,,, ,, ,,Null,,OUTSIDE/THIRD PARTY, ,YES,5/30/89,YES,3,YELLOW SPRAY PAINT,YES,, ,"TAB ELECTRIC EMPLOYEES DAMAGED A 4"" PLASTIC GAS MAIN WITH POST HOLE AUGER.  THE ESCAPING GAS IGNITED AND THREE OF THEIR EMPLOYEES WERE INJURED (ONE WAS AMINOR BURN).  THE TAB CREW WAS USING AN ELECTRIC DRILL NEAR THE DAMAGED, THIS SEEMS TO BE THE APPARENT IGNITION SOURCE."
